"Pathway","EDF","F_stat","p_value","Dev_explained","p_adj"
"CHLOROPHYLL-SYN",4.76237385133163,8.38885062603218,5.21721724711099e-07,39.4722770436727,7.46463390740496e-06
"TCA-GLYOX-BYPASS",6.1069795031801,7.29932385973575,6.86661613236161e-07,75.2593625457273,9.46067111569822e-06
"POLYAMINSYN3-PWY",3.75218013055172,9.38940711001308,8.82342710728512e-07,64.583988924775,1.17225531568217e-05
"P281-PWY",5.87197619985198,7.00920098398681,1.129318304538e-06,53.3995469478675,1.44864279064874e-05
"DAPLYSINESYN-PWY",3.20650478391802,9.61392668677524,1.1815187128672e-06,42.53236968589,1.46508320395533e-05
"ECASYN-PWY",6.15000141151966,7.02301341221206,1.37967337848766e-06,74.1874455097639,1.60202371033361e-05
"ENTBACSYN-PWY",6.19270015685653,6.95582425088118,1.50270848942036e-06,76.0295942016609,1.60202371033361e-05
"GLUTORN-PWY",4.2219173349739,7.97729857460576,1.50728037262571e-06,43.3146682875005,1.60202371033361e-05
"GLYCOLYSIS-TCA-GLYOX-BYPASS",6.11842818508311,7.14146174424607,1.34879346674888e-06,74.6557494448058,1.60202371033361e-05
"PWY-6165",3.71954242965284,8.83871771380943,1.45928054834377e-06,66.5799431991259,1.60202371033361e-05
"PWY-6121",3.28529103567885,8.98752800327104,1.91696302020983e-06,52.1506830437152,1.98086178755016e-05
"PWY-6470",4.19813872062526,7.75740534417511,2.05663322783156e-06,50.3533440406533,2.06775016419822e-05
"PWY-7199",5.11977859188342,6.97135120793824,2.16918217377238e-06,50.0872557944924,2.06906607344442e-05
"PWY0-1415",5.33641252705655,6.80668371378816,2.16007508591076e-06,79.8375938492916,2.06906607344442e-05
"PWY-5910",4.41453674663403,7.57003778559366,2.27390789914184e-06,54.5789990159815,2.09284304524588e-05
"PWY-6396",4.1068142807899,7.80794488936155,2.33891153084143e-06,43.3407306776613,2.09284304524588e-05
"PWY-922",4.41546634769644,7.54593963895677,2.36288730914858e-06,54.6512817460482,2.09284304524588e-05
"PWY-5747",5.92620651526561,6.67936564555909,2.47643528905606e-06,80.3914658357999,2.14240448262524e-05
"ARGDEG-PWY",6.1014745985546,6.60258830979336,2.75257537596385e-06,75.2182187063905,2.27546231079678e-05
"ORNARGDEG-PWY",6.1014745985546,6.60258830979336,2.75257537596385e-06,75.2182187063905,2.27546231079678e-05
"PWY-5154",3.76240718395597,8.12116083716179,3.06806508532098e-06,53.1313360470385,2.48113089508566e-05
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",6.10883418433349,6.50957800521043,3.30395047021259e-06,75.8718833837555,2.61504164876401e-05
"ARG+POLYAMINE-SYN",4.28693665677551,7.39847616014286,3.89175590898017e-06,59.5604872035562,2.95455754722576e-05
"PWY0-42",5.90716001669967,6.43494292562743,3.82916605917716e-06,80.0584007158824,2.95455754722576e-05
"CODH-PWY",3.67703569854769,7.70700615947355,5.96904092020623e-06,50.3290596840169,4.44096644463343e-05
"BRANCHED-CHAIN-AA-SYN-PWY",3.114155172109,8.67002102242331,6.57844556278819e-06,50.2452158602099,4.5318180543652e-05
"ILEUSYN-PWY",3.27583836771719,8.02991697246298,6.47949455201413e-06,54.0476847710945,4.5318180543652e-05
"PWY-3001",2.66226586065903,9.34919322827409,6.33284687706626e-06,43.393916467963,4.5318180543652e-05
"VALSYN-PWY",3.27583836771719,8.02991697246298,6.47949455201413e-06,54.0476847710945,4.5318180543652e-05
"ARGSYNBSUB-PWY",3.46092514157151,7.79544563412075,7.87866268103787e-06,40.8349510320412,5.23368306668944e-05
"PWY-6749",5.49496032619266,6.11225383918591,7.86068683150676e-06,43.2173832517042,5.23368306668944e-05
"PWY-6507",3.96676512400166,7.2791975089154,9.52138511500777e-06,53.6847854990633,6.21395660137349e-05
"PWY-7111",4.13949511390051,6.70265198708733,1.23062928857331e-05,57.3818883595987,7.89300164395299e-05
"PWY0-1277",6.02511976387378,5.86059428341974,1.3327163346899e-05,76.4798966738291,8.26284127507737e-05
"TYRFUMCAT-PWY",3.67095988919174,7.31169355321336,1.32056242986289e-05,26.8298542273271,8.26284127507737e-05
"PWY-7446",5.94866861779802,5.72759612313972,1.68120600976263e-05,79.1710413429055,0.000102526005841262
"PWY-7400",3.22583712361914,7.44659634006432,1.85995465389333e-05,37.9070237265947,0.0001115972792336
"ARGSYN-PWY",3.21231299011576,7.4433069566866,1.98448059444134e-05,37.8938237579686,0.000113909715254791
"BIOTIN-BIOSYNTHESIS-PWY",3.4367712599349,7.25337401387417,1.99035792783908e-05,48.604397413068,0.000113909715254791
"THRESYN-PWY",2.39290321553946,8.85353327082614,1.93212903270568e-05,33.8784797066932,0.000113909715254791
"PWY-6728",3.76314071891482,6.94378382702216,2.51828541616983e-05,72.5975346676491,0.000141939723456845
"GOLPDLCAT-PWY",4.73437517076154,6.0287335984446,2.68164396221016e-05,41.740254328021,0.000148891276707788
"PWY-5104",3.53308272911182,6.86542135856745,2.8576855825746e-05,53.4585327220616,0.000156332211282022
"PWY-6519",3.40086533117486,6.90560528169993,3.59312157850455e-05,48.4105458834145,0.000193716119884593
"PWY490-3",4.98712790882135,5.43035310833214,4.22255191027121e-05,35.335751238192,0.000224398472945841
"PWY-6071",4.59590624016499,5.72436589495711,4.49872520974504e-05,66.9628833800308,0.000235707856059881
"PWY0-321",4.60357671766173,5.69658065396893,4.72633380048104e-05,66.9435089941627,0.000244193913024854
"PWY-7391",5.79708235400894,5.23208951060221,5.13098045317184e-05,83.3798498110018,0.00026146914090136
"FUCCAT-PWY",4.21853782342589,5.79565502408289,5.36794067303448e-05,66.5705026930947,0.00026984782842822
"GLUCOSE1PMETAB-PWY",2.44983954076128,7.4952850111167,9.72818946158305e-05,42.5520345444731,0.000482518197294519
"METHGLYUT-PWY",5.85703850565529,4.97994735784688,9.90510111233411e-05,79.3582628316011,0.000484828633393196
"PYRIDOXSYN-PWY",3.21884252428073,6.3270365656976,0.000110650558406311,37.2167424022349,0.000534571528923997
"PWY-6629",5.31499977508693,4.70680624168216,0.000154416637891119,74.8929946318814,0.000736448580711492
"PWY0-845",3.15256899222975,6.16430711484963,0.00017071693444981,35.02010662821,0.000803882273611766
"PWY0-1586",3.49576093958785,5.80415994644282,0.000178094789060779,60.3846025704758,0.000828140769132621
"PWY-7254",2.43865746745382,6.89634226279854,0.00020898484168197,58.5396456181398,0.000959782235872749
"PWY-5304",2.95520958931515,6.21631342480629,0.000222955571116124,57.2798245981378,0.00101145698116095
"PWY-5103",2.70400845912035,6.69578202376342,0.000228047318760749,46.8992491106526,0.00102209159733733
"POLYAMSYN-PWY",2.97056673617074,6.19918834545147,0.000233096077467854,61.4627042130509,0.00103228262878621
"LACTOSECAT-PWY",2.32077959903504,6.98733469125814,0.000239638325536251,53.3413282175332,0.00104877008352336
"P124-PWY",3.10265310350651,5.89800294814563,0.000292897087340649,45.5266859316541,0.00126695019175257
"PWY-6174",4.70637343203058,4.6887846811598,0.000307708231446158,87.013581390897,0.00131571795514909
