"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Genus"
"ASV_307",9.01483166234242,0.832348984916648,2.02438115658729,0.411162187618771,0.680953612606401,0.809615352751994,"Howardella"
"ASV_354",11.2213695971315,0.444826440896902,1.14617342634373,0.388096976140764,0.697944269613788,0.809615352751994,"Odoribacter"
"ASV_424",13.0260559680512,1.42025622015781,3.51247364041188,0.404346442295655,0.685957978284817,0.809615352751994,"Lactococcus"
"ASV_377",8.82693557049694,0.656760675598315,1.81022079194753,0.36280694516371,0.716749103397473,0.823196990040662,NA
"ASV_157",34.9153977046571,-0.539714304410351,1.58656781550786,-0.340177267643356,0.733723036240894,0.833713328241138,"Barnesiella"
"ASV_409",7.89800875709891,-0.664651542362862,2.00508692057448,-0.33148265820438,0.740279938007218,0.833713328241138,"Turicibacter"
"ASV_15",882.555478425808,0.220933571137327,0.830067341534184,0.26616343046214,0.79011334570989,0.835430410458128,"Ruminococcus"
"ASV_40",244.568210613648,0.23502357410541,0.876761874371378,0.268058615429552,0.788654200486275,0.835430410458128,"Alistipes"
"ASV_149",60.6865172015613,0.481847770753231,1.69021532326389,0.285080701920723,0.775582314500881,0.835430410458128,"Clostridium sensu stricto 1"
"ASV_262",12.7962261114162,-0.329693879472443,1.21895035969247,-0.270473589716665,0.786795932349222,0.835430410458128,"Lachnospiraceae UCG-008"
"ASV_439",8.850184667973,-0.647369666450037,2.3408338878011,-0.276555149779617,0.782121707138299,0.835430410458128,"Parasutterella"
"ASV_530",3.84145010542899,0.43159092642396,1.59812343542527,0.270061070914156,0.787113270590572,0.835430410458128,"Methanobrevibacter"
"ASV_686",3.06003798141776,-0.690511928988305,2.62122622454812,-0.263430879228039,0.792218492675812,0.835430410458128,"Haemophilus"
"ASV_269",14.1305520021339,-0.571772739052441,2.34936636196573,-0.243373170021058,0.807716326281338,0.844099944582299,"Prevotellaceae NK3B31 group"
"ASV_521",6.81884836152261,0.408556118485128,1.81628981872146,0.224939937599123,0.822025999617037,0.851384071031932,"Frisingicoccus"
"ASV_332",11.6989663907398,0.386958892232395,2.17422801016709,0.177975304532415,0.85874237022186,0.88154084022775,NA
"ASV_193",28.9518719088821,-0.0922963114297023,0.844109725593741,-0.109341604096294,0.9129315490977,0.920870084307245,"Eggerthella"
"ASV_302",8.03688298176252,0.195187983529264,1.73674929232981,0.112386965920351,0.910516589540241,0.920870084307245,"Butyricimonas"
"ASV_374",27.6653136459625,-0.0994696568752575,1.19795741148454,-0.0830327154552116,0.933825526251518,0.933825526251518,"Veillonella"
